Transect,Plant Species,Count
1,Common Milkweed Ramet,2
1,Swamp Milkweed Ramet,0
1,Butterfly Milkweed Ramet,0
1,Daisy Fleabone ,5
1,Queen Ann's Lace,0
1,Canada Lettuce,0
1,Wild Bergamot,0
1,Brown Eyed Susan,0
1,Grey Coneflower,0
1,Black Eyed Susan,0
1,Ox Eye Sunflower,0
1,Pale Purple Coneflower,0
1,Common Evening Primrose,0
1,White Sweet Clover,0
1,Canada Thistle,0
1,Swamp Smartweed,0
1,Wild Parsnip,0
1,Mountain Mint,0
1,Red Clover,0
1,Hoary Vervane,0
1,White Sweet Clover,0
1,Yellow Sweet Clover,0
1,St. John's Wort,0
2,Common Milkweed Ramet,2
2,Swamp Milkweed Ramet,0
2,Butterfly Milkweed Ramet,0
2,Daisy Fleabone ,0
2,Queen Ann's Lace,2
2,Canada Lettuce,1
2,Wild Bergamot,0
2,Brown Eyed Susan,0
2,Grey Coneflower,0
2,Black Eyed Susan,0
2,Ox Eye Sunflower,0
2,Pale Purple Coneflower,0
2,Common Evening Primrose,0
2,White Sweet Clover,0
2,Canada Thistle,0
2,Swamp Smartweed,0
2,Wild Parsnip,0
2,Mountain Mint,0
2,Red Clover,0
2,Hoary Vervane,0
2,White Sweet Clover,0
2,Yellow Sweet Clover,0
2,St. John's Wort,0
3,Common Milkweed Ramet,3
3,Swamp Milkweed Ramet,0
3,Butterfly Milkweed Ramet,0
3,Daisy Fleabone ,0
3,Queen Ann's Lace,0
3,Canada Lettuce,0
3,Wild Bergamot,0
3,Brown Eyed Susan,0
3,Grey Coneflower,0
3,Black Eyed Susan,0
3,Ox Eye Sunflower,0
3,Pale Purple Coneflower,0
3,Common Evening Primrose,0
3,White Sweet Clover,0
3,Canada Thistle,0
3,Swamp Smartweed,0
3,Wild Parsnip,0
3,Mountain Mint,0
3,Red Clover,0
3,Hoary Vervane,0
3,White Sweet Clover,0
3,Yellow Sweet Clover,0
3,St. John's Wort,0
4,Common Milkweed Ramet,10
4,Swamp Milkweed Ramet,0
4,Butterfly Milkweed Ramet,0
4,Daisy Fleabone ,0
4,Queen Ann's Lace,0
4,Canada Lettuce,0
4,Wild Bergamot,0
4,Brown Eyed Susan,0
4,Grey Coneflower,0
4,Black Eyed Susan,0
4,Ox Eye Sunflower,0
4,Pale Purple Coneflower,0
4,Common Evening Primrose,0
4,White Sweet Clover,0
4,Canada Thistle,0
4,Swamp Smartweed,0
4,Wild Parsnip,0
4,Mountain Mint,0
4,Red Clover,0
4,Hoary Vervane,0
4,White Sweet Clover,0
4,Yellow Sweet Clover,0
4,St. John's Wort,0
5,Common Milkweed Ramet,231
5,Swamp Milkweed Ramet,0
5,Butterfly Milkweed Ramet,2
5,Daisy Fleabone ,220
5,Queen Ann's Lace,0
5,Canada Lettuce,0
5,Wild Bergamot,539
5,Brown Eyed Susan,1141
5,Grey Coneflower,362
5,Black Eyed Susan,135
5,Ox Eye Sunflower,2
5,Pale Purple Coneflower,3
5,Common Evening Primrose,2
5,White Sweet Clover,0
5,Canada Thistle,0
5,Swamp Smartweed,0
5,Wild Parsnip,0
5,Mountain Mint,0
5,Red Clover,0
5,Hoary Vervane,0
5,White Sweet Clover,0
5,Yellow Sweet Clover,0
5,St. John's Wort,0
6,Common Milkweed Ramet,41
6,Swamp Milkweed Ramet,0
6,Butterfly Milkweed Ramet,0
6,Daisy Fleabone ,3
6,Queen Ann's Lace,96
6,Canada Lettuce,3
6,Wild Bergamot,0
6,Brown Eyed Susan,0
6,Grey Coneflower,0
6,Black Eyed Susan,0
6,Ox Eye Sunflower,0
6,Pale Purple Coneflower,0
6,Common Evening Primrose,0
6,White Sweet Clover,61
6,Canada Thistle,2
6,Swamp Smartweed,124
6,Wild Parsnip,0
6,Mountain Mint,0
6,Red Clover,0
6,Hoary Vervane,0
6,White Sweet Clover,0
6,Yellow Sweet Clover,0
6,St. John's Wort,0
7,Common Milkweed Ramet,6
7,Swamp Milkweed Ramet,0
7,Butterfly Milkweed Ramet,0
7,Daisy Fleabone ,1
7,Queen Ann's Lace,0
7,Canada Lettuce,0
7,Wild Bergamot,0
7,Brown Eyed Susan,0
7,Grey Coneflower,0
7,Black Eyed Susan,0
7,Ox Eye Sunflower,0
7,Pale Purple Coneflower,0
7,Common Evening Primrose,0
7,White Sweet Clover,0
7,Canada Thistle,0
7,Swamp Smartweed,0
7,Wild Parsnip,0
7,Mountain Mint,0
7,Red Clover,0
7,Hoary Vervane,0
7,White Sweet Clover,0
7,Yellow Sweet Clover,0
7,St. John's Wort,0
8,Common Milkweed Ramet,8
8,Swamp Milkweed Ramet,3
8,Butterfly Milkweed Ramet,0
8,Daisy Fleabone ,0
8,Queen Ann's Lace,7
8,Canada Lettuce,0
8,Wild Bergamot,0
8,Brown Eyed Susan,0
8,Grey Coneflower,0
8,Black Eyed Susan,0
8,Ox Eye Sunflower,0
8,Pale Purple Coneflower,0
8,Common Evening Primrose,0
8,White Sweet Clover,0
8,Canada Thistle,115
8,Swamp Smartweed,0
8,Wild Parsnip,212
8,Mountain Mint,0
8,Red Clover,0
8,Hoary Vervane,0
8,White Sweet Clover,0
8,Yellow Sweet Clover,0
8,St. John's Wort,0
9,Common Milkweed Ramet,6
9,Swamp Milkweed Ramet,0
9,Butterfly Milkweed Ramet,0
9,Daisy Fleabone ,0
9,Queen Ann's Lace,0
9,Canada Lettuce,0
9,Wild Bergamot,1134
9,Brown Eyed Susan,0
9,Grey Coneflower,113
9,Black Eyed Susan,63
9,Ox Eye Sunflower,0
9,Pale Purple Coneflower,7
9,Common Evening Primrose,0
9,White Sweet Clover,0
9,Canada Thistle,0
9,Swamp Smartweed,0
9,Wild Parsnip,0
9,Mountain Mint,21
9,Red Clover,1
9,Hoary Vervane,0
9,White Sweet Clover,0
9,Yellow Sweet Clover,0
9,St. John's Wort,0
11,Common Milkweed Ramet,0
11,Swamp Milkweed Ramet,0
11,Butterfly Milkweed Ramet,0
11,Daisy Fleabone ,0
11,Queen Ann's Lace,0
11,Canada Lettuce,0
11,Wild Bergamot,0
11,Brown Eyed Susan,0
11,Grey Coneflower,0
11,Black Eyed Susan,0
11,Ox Eye Sunflower,0
11,Pale Purple Coneflower,0
11,Common Evening Primrose,0
11,White Sweet Clover,0
11,Canada Thistle,24
11,Swamp Smartweed,0
11,Wild Parsnip,0
11,Mountain Mint,0
11,Red Clover,0
11,Hoary Vervane,0
11,White Sweet Clover,0
11,Yellow Sweet Clover,0
11,St. John's Wort,0
12,Common Milkweed Ramet,4
12,Swamp Milkweed Ramet,0
12,Butterfly Milkweed Ramet,0
12,Daisy Fleabone ,0
12,Queen Ann's Lace,0
12,Canada Lettuce,0
12,Wild Bergamot,937
12,Brown Eyed Susan,0
12,Grey Coneflower,226
12,Black Eyed Susan,6
12,Ox Eye Sunflower,111
12,Pale Purple Coneflower,0
12,Common Evening Primrose,0
12,White Sweet Clover,0
12,Canada Thistle,2
12,Swamp Smartweed,0
12,Wild Parsnip,0
12,Mountain Mint,0
12,Red Clover,0
12,Hoary Vervane,0
12,White Sweet Clover,0
12,Yellow Sweet Clover,0
12,St. John's Wort,0
13,Common Milkweed Ramet,59
13,Swamp Milkweed Ramet,0
13,Butterfly Milkweed Ramet,0
13,Daisy Fleabone ,0
13,Queen Ann's Lace,0
13,Canada Lettuce,0
13,Wild Bergamot,92
13,Brown Eyed Susan,0
13,Grey Coneflower,165
13,Black Eyed Susan,0
13,Ox Eye Sunflower,0
13,Pale Purple Coneflower,0
13,Common Evening Primrose,0
13,White Sweet Clover,0
13,Canada Thistle,0
13,Swamp Smartweed,0
13,Wild Parsnip,16
13,Mountain Mint,0
13,Red Clover,0
13,Hoary Vervane,0
13,White Sweet Clover,0
13,Yellow Sweet Clover,0
13,St. John's Wort,0
14,Common Milkweed Ramet,0
14,Swamp Milkweed Ramet,0
14,Butterfly Milkweed Ramet,0
14,Daisy Fleabone ,0
14,Queen Ann's Lace,0
14,Canada Lettuce,0
14,Wild Bergamot,0
14,Brown Eyed Susan,0
14,Grey Coneflower,0
14,Black Eyed Susan,0
14,Ox Eye Sunflower,0
14,Pale Purple Coneflower,0
14,Common Evening Primrose,0
14,White Sweet Clover,0
14,Canada Thistle,0
14,Swamp Smartweed,0
14,Wild Parsnip,0
14,Mountain Mint,0
14,Red Clover,0
14,Hoary Vervane,0
14,White Sweet Clover,0
14,Yellow Sweet Clover,0
14,St. John's Wort,0
15,Common Milkweed Ramet,64
15,Swamp Milkweed Ramet,0
15,Butterfly Milkweed Ramet,0
15,Daisy Fleabone ,0
15,Queen Ann's Lace,0
15,Canada Lettuce,0
15,Wild Bergamot,1316
15,Brown Eyed Susan,240
15,Grey Coneflower,345
15,Black Eyed Susan,0
15,Ox Eye Sunflower,9
15,Pale Purple Coneflower,0
15,Common Evening Primrose,0
15,White Sweet Clover,0
15,Canada Thistle,0
15,Swamp Smartweed,0
15,Wild Parsnip,0
15,Mountain Mint,0
15,Red Clover,0
15,Hoary Vervane,0
15,White Sweet Clover,0
15,Yellow Sweet Clover,0
15,St. John's Wort,0
AD,Common Milkweed Ramet,14
AD,Swamp Milkweed Ramet,0
AD,Butterfly Milkweed Ramet,0
AD,Daisy Fleabone ,0
AD,Queen Ann's Lace,0
AD,Canada Lettuce,0
AD,Wild Bergamot,136
AD,Brown Eyed Susan,0
AD,Grey Coneflower,124
AD,Black Eyed Susan,0
AD,Ox Eye Sunflower,17
AD,Pale Purple Coneflower,0
AD,Common Evening Primrose,0
AD,White Sweet Clover,0
AD,Canada Thistle,0
AD,Swamp Smartweed,0
AD,Wild Parsnip,0
AD,Mountain Mint,0
AD,Red Clover,0
AD,Hoary Vervane,5
AD,White Sweet Clover,85300
AD,Yellow Sweet Clover,2330
AD,St. John's Wort,5
