"","monarchrunid","stepclass","Freq","X","ctmmlabel","year","monarchid","runid","releasesiteid","monarchcatchsite","monarchcatchdate","monarchmass","trialdate","dayscaptive","trialsite","samecatchtrial","attachment","transmitterid","transantenna","experiment","temp","tempc","cloud","windspeed","windkph","winddirection","starttime","endtime","timeobs","secobserved","numpoints","firstlandon","fly","dudtime","Release","releaseN","releaseE","lastN","lastE","lastlandcover","euclidiandistance","euclidianbearing"
"44","19183a","cross",1,87,"dm",2019,19183,"a",3,"GM","8/5/2019",NA,"8/6/2019",1,"GM","y","none",NA,"","habitatutilization",81.3,27.38888889,"clear",4.9,7.8841,"SW","12:12:00","12:15:55","0:03:55",235,4,"common milkweed","fly",NA,"grass",4751891.11,525487.0003,525421.1606,4751759.29,"na",147.3478147,206.5406012
"45","19184a","cross",1,88,"dn",2019,19184,"a",3,"GM","8/5/2019",NA,"8/6/2019",1,"GM","y","none",NA,"","habitatutilization",88.6,31.44444444,"clear",4.6,7.4014,"SSW","12:32:00","12:47:13","0:15:13",913,11,"corn","fly",NA,"grass",4751891.815,525487.9169,525298.922,4751590.673,"na",355.535619,212.1121335
"46","19186a","cross",1,90,"dp",2019,19186,"a",5,"GM","8/5/2019",NA,"8/7/2019",2,"GM","y","none",NA,"","habitatutilization",76.9,24.94444444,"mostly cloudy",1.5,2.4135,"NE","9:19:00","10:19:00","1:00:00",3600,23,"common milkweed","fly",NA,"grass",4751923.688,525786.7317,525856.1494,4751950.198,"grass",74.30745032,69.09858957
"47","19187a","cross",2,91,"dq",2019,19187,"a",5,"GM","8/5/2019",NA,"8/7/2019",2,"GM","y","none",NA,"","habitatutilization",84,28.88888889,"mostly clear",6.7,10.7803,"ENE","10:50:00","11:48:15","0:58:15",3495,30,"grass","fly",NA,"grass",4751924.04,525786.5995,525793.2097,4751675.665,"prairie",248.4629457,178.475502
"48","19189a","cross",1,93,"ds",2019,19189,"a",5,"GM","8/6/2019",0.3861,"8/7/2019",1,"GM","y","none",NA,"","habitatutilization",93.1,33.94444444,"clear",6.3,10.1367,"NE","13:16:00","14:16","1:00:00",3600,10,"grass","fly",NA,"grass",4751924.23,525786.9942,525859.9935,4751924,"grass",72.99966233,90.18052208
"49","19191a","cross",1,95,"du",2019,19191,"a",8,"GM","8/6/2019",0.3263,"8/8/2019",2,"GM","y","transmitter",15,"bent","habitatutilization",67,19.44444444,"clear",3.1,4.9879,"SSE","8:54:00","9:54","1:00:00",3600,12,"grass","fly",NA,"corn",4751783.3,525545.561,525518.565,4751777.493,"prairie",27.61349788,257.8603181
"50","19192a","cross",2,96,"dv",2019,19192,"a",8,"GM","8/6/2019",NA,"8/8/2019",2,"GM","y","transmitter",15,"bent","habitatutilization",73.4,23,"clear",0.4,0.6436,"S","10:15:00","11:15:50","1:00:50",3650,8,"corn","fly",NA,"corn",4751783.415,525545.117,525788.563,4751875.182,"prairie",260.1675176,69.34605915
"51","19193a","cross",1,97,"dw",2019,19193,"a",8,"GM","8/6/2019",NA,"8/8/2019",2,"GM","y","transmitter",15,"bent","habitatutilization",79.1,26.16666667,"clear",3.1,4.9879,"SE","12:07:00","12:36:19","0:29:19",1759,9,"bare ground","fly",NA,"corn",4751783.504,525545.509,525467.364,4751779.67,"grass",78.23899655,267.1911701
"52","19194a","cross",2,98,"dx",2019,19194,"a",8,"GM","8/6/2019",NA,"8/8/2019",2,"GM","y","none",NA,"","habitatutilization",83.3,28.5,"clear",5.1,8.2059,"SE","13:31:00","13:33:10","0:02:10",130,4,"wild bergamot","fly",NA,"corn",4751783.427,525545.331,525579.576,4751708.012,"grass",82.8259757,155.5778004
"53","19197a","cross",1,100,"dz",2019,19197,"a",10,"GM","8/7/2019",0.2944,"8/9/2019",2,"GM","y","transmitter",16,"straight","habitatutilization",71.1,21.72222222,"mostly clear",1.7,2.7353,"SW","9:11:00","10:10","0:59:00",3540,4,"grey headed coneflower","fly",NA,"edge",4751908.701,525684.051,525701.093,4751839.852,"na",70.92682543,166.0971809
"54","19198a","cross",1,101,"ea",2019,19198,"a",10,"GM","8/7/2019",NA,"8/9/2019",2,"GM","y","transmitter",16,"straight","habitatutilization",76.6,24.77777778,"mostly clear",1.1,1.7699,"S","10:11:00","11:41","1:30:00",5400,8,"grass","fly",NA,"edge",4751909.222,525683.888,526030.43,4750080.264,"prairie",1861.499053,169.2710624
"55","19200a","cross",2,102,"eb",2019,19200,"a",10,"GM","8/8/2019",NA,"8/9/2019",1,"GM","y","none",NA,"","habitatutilization",95.8,35.44444444,"mostly clear",0.4,0.6436,"S","13:02:00","13:08:50","0:06:50",410,3,"corn","fly",NA,"edge",4751909.172,525684.204,525684.37,4751883.778,"na",25.39454256,179.6254641
"56","20009a","cross",5,176,"ec",2020,20009,"a",2,"barb","6/22/2020",0.1735,"6/24/2020",2,"west","n","transmitter",164.859,"straight","roadside",70,21.11111111,"clear",2.5,4.0225,"SE","8:39:00","9:29:00","0:50:00",3000,16,"corn","fly",NA,"west",4646764.351,445432.667,4646754.799,445392.172,"crop",41.60631838,256.7276238
"57","20010a","cross",2,177,"ed",2020,20010,"a",2,"barb","6/22/2020",NA,"6/24/2020",2,"west","n","transmitter",164.859,"straight","roadside",76,24.44444444,"mostly cloudy",6.8,10.9412,"SE","11:28:00","11:48:00","0:20:00",1200,4,"bare ground","fly",NA,"west",4646765.323,445432.486,4646796.063,445524.431,"prairie",96.94756637,71.51365646
"58","20011a","cross",1,178,"ef",2020,20011,"a",2,"barb","6/22/2020",0.2476,"6/24/2020",2,"west","n","transmitter",164.859,"straight","roadside",77,25,"mostly clear",4.5,7.2405,"SSE","10:54:00","11:03:00","0:09:00",540,8,"corn","fly",NA,"west",4646764.987,445432.467,4646786.17,445352.56,"crop",82.66709223,284.8473489
"59","20012a","cross",1,139,"eg",2020,20012,"a",1,"barb","6/22/2020",NA,"6/25/2020",3,"east","n","transmitter",164.859,"straight","roadside",80,26.66666667,"clear",2,3.218,"E","8:09:00","8:40:00","0:31:00",1860,4,"corn","fly",NA,"east",4646453.392,447052.724,4646498.243,447140,"crop",98.12600255,62.80143927
"60","20016a","cross",1,141,"ei",2020,20016,"a",1,"jesse","6/22/2020",0.1955,"6/25/2020",3,"east","n","transmitter",164.604,"straight","roadside",84,28.88888889,"clear",4,6.436,"N","11:04:00","11:10:00","0:06:00",360,2,"corn","fly",NA,"east",4646453.681,447052.556,4646441.938,447073.55,"crop",24.0550636,119.2204799
"61","20022a","cross",1,142,"ek",2020,20022,"a",1,"jesse","6/27/2020",NA,"6/29/2020",2,"east","n","none",NA,"","roadside",78,25.55555556,"clear",7.8,12.5502,"N","7:25:00","7:59:00","0:34:00",2040,29,"grass","fly",NA,"east",4646365.033,447038.635,4646181.271,447006.64,"na",186.5265468,189.87682
"62","20030a","cross",1,179,"ep",2020,20030,"a",2,"jesse","6/27/2020",NA,"6/30/2020",3,"west","n","transmitter",164.2,"straight","roadside",76,24.44444444,"mostly clear",6,9.654,"NW","8:12:00","9:12:00","1:00:00",3600,6,"grass","fly",NA,"west",4646802.155,445432.779,4646798.713,445464.708,"prairie",32.1139908,96.1528206
"63","20037a","cross",2,143,"ew",2020,20037,"a",1,"jesse","6/29/2020",NA,"7/1/2020",2,"east","n","transmitter",164.2,"straight","roadside",79,26.11111111,"cloudy",3.3,5.3097,"WSW","12:24:00","13:04:00","0:40:00",2400,7,"soy","fly",NA,"east",4646396.928,447037.105,4646067.423,446635.881,"roadside",519.1861354,230.605467
"64","20044a","cross",1,144,"fg",2020,20044,"a",1,"jesse","7/8/2020",0.1765,"7/10/2020",2,"east","n","transmitter",164.955,"straight","roadside",82,27.77777778,"clear",5,8.045,"SSE","9:23:00","9:42:00","0:19:00",1140,7,"grass","fly",NA,"east",4646408.178,447038.607,4646322.484,447027.775,"crop",86.37588703,187.2041659
"65","20046a","cross",3,181,"fi",2020,20046,"a",2,"east dairy","7/10/2020",0.2583,"7/13/2020",3,"west","n","transmitter",164.955,"straight","roadside",78,25.55555556,"clear",3.5,5.6315,"NW","9:20:00","10:13:00","0:53:00",3180,12,"grass","fly",NA,"west",4646770.971,445432.712,4646835.759,445454.233,"prairie",68.26886834,18.37523395
"66","20047a","cross",1,182,"fj",2020,20047,"a",2,"uthe","7/12/2020",NA,"7/13/2020",1,"west","n","transmitter",164.955,"straight","roadside",86,30,"mostly clear",6.5,10.4585,"NW","10:48:00","11:03:30","0:15:30",930,5,"corn","fly",NA,"west",4646771.358,445432.82,4646768.452,445412.121,"crop",20.90199601,262.008292
"67","20049a","cross",2,146,"fm",2020,20049,"a",1,"ad prairie","7/13/2020",0.2681,"7/14/2020",1,"east","n","transmitter",164.955,"straight","roadside",77,25,"cloudy",5.5,8.8495,"N","9:05:00","11:02:00","1:57:00",7020,9,"soy","fly",NA,"east",4646387.289,447038.359,4646728.831,447459.013,"prairie",541.8493568,50.92578595
"68","20051a","cross",2,183,"fq",2020,20051,"a",2,"ad prairie","7/13/2020",0.2598,"7/16/2020",3,"west","n","transmitter",165.161,"straight","roadside",76,24.44444444,"mostly clear",2,3.218,"NW","10:12:00","11:12:00","1:00:00",3600,9,"grass","fly",NA,"west",4646779.186,445432.472,4646815.335,445436.213,"roadside",36.34205941,5.908412301
"69","20052a","cross",5,184,"fr",2020,20052,"a",2,"jesse","7/13/2020",NA,"7/16/2020",3,"west","n","transmitter",165.161,"straight","roadside",82,27.77777778,"mostly clear",0,0,"N","11:40:00","13:10:00","1:30:00",5400,14,"grass","fly",NA,"west",4646779.483,445432.208,4646537.267,445464.399,"na",244.3457614,172.4296378
"70","20053a","cross",5,185,"fs",2020,20053,"a",2,"jesse","7/13/2020",NA,"7/16/2020",3,"west","n","transmitter",164.955,"straight","roadside",83,28.33333333,"mostly clear",1.5,2.4135,"N","13:48:00","15:48:00","2:00:00",7200,11,"corn","fly",NA,"west",4646778.931,445432.695,4646996.366,445427.536,"roadside",217.4961942,358.6408192
"71","20054a","cross",6,186,"ft",2020,20054,"a",2,"ad prairie","7/16/2020",0.2146,"7/19/2020",3,"west","n","transmitter",165.261,"straight","roadside",73.5,23.05555556,"mostly clear",5,8.045,"SSE","7:23:00","8:21:00","0:58:00",3480,11,"corn","fly",NA,"west",4646819.833,445433.377,4646854.229,445453.779,"prairie",39.99157936,30.67431439
"72","20055a","cross",3,187,"fu",2020,20055,"a",2,"ad prairie","7/16/2020",0.1778,"7/19/2020",3,"west","n","transmitter",165.261,"straight","roadside",76.5,24.72222222,"mostly cloudy",4.2,6.7578,"SSE","8:47:00","10:13:00","1:26:00",5160,11,"red clover","fly",NA,"west",4646819.879,445433.577,4645973.75,445402.091,"crop",846.714623,182.1310969
"73","20056a","cross",2,188,"fv",2020,20056,"a",2,"jesse","7/17/2020",0.2671,"7/19/2020",2,"west","n","transmitter",165.261,"straight","roadside",80.5,26.94444444,"mostly clear",3.5,5.6315,"S","10:56:00","11:13:00","0:17:00",1020,4,"corn","fly",NA,"west",4646820.047,445433.6,4646835.169,445447.147,"roadside",20.30261296,41.85548045
"74","20057a","cross",2,189,"fw",2020,20057,"a",2,"jesse","7/17/2020",NA,"7/19/2020",2,"west","n","transmitter",165.261,"straight","roadside",81,27.22222222,"mostly clear",7,11.263,"S","11:34:00","12:08:00","0:34:00",2040,3,"vegetative prairie plant","fly",NA,"west",4646819.95,445433.457,4645862.99,447050.613,"na",1879.086472,120.6151331
"75","20061a","cross",1,147,"ga",2020,20061,"a",1,"barb","7/21/2020",0.1818,"7/23/2020",2,"east","n","transmitter",164.066,"straight","roadside",70,21.11111111,"clear",3.8,6.1142,"NNW","8:47:00","9:42:00","0:55:00",3300,3,"grass","fly",NA,"east",4646302.165,447037.79,4646297.684,447033.509,"crop",6.197283437,223.6924028
"76","20064a","cross",2,148,"gd",2020,20064,"a",1,"barb","7/21/2020",NA,"7/23/2020",2,"east","n","transmitter",164.066,"straight","roadside",81.5,27.5,"mostly clear",3.2,5.1488,"NW","11:10:00","12:12:00","1:02:00",3720,3,"grass","fly",NA,"east",4646301.963,447037.677,4646336.633,446978.661,"na",68.44630856,300.4328644
"77","20070a","cross",1,150,"gk",2020,20070,"a",1,"ad prairie","7/23/2020",0.2219,"7/24/2020",1,"east","n","transmitter",165.364,"straight","roadside",85,29.44444444,"clear",3.8,6.1142,"NNW","11:00:00","11:48:00","0:48:00",2880,4,"grass","fly",NA,"east",4646306.586,447036.777,4646290.766,447028.247,"crop",17.97312716,208.3331421
"78","20077a","cross",1,151,"gu",2020,20077,"a",1,"ad prairie","7/25/2020",0.2132,"7/27/2020",2,"east","n","transmitter",165.364,"straight","roadside",84,28.88888889,"clear",1.3,2.0917,"S","10:53:00","11:10:00","0:17:00",1020,6,"soy","fly",NA,"east",4646355.981,447038.034,4646019.415,446987.552,"crop",340.3308753,188.5302828
"79","20078a","cross",2,152,"gv",2020,20078,"a",1,"ad prairie","7/25/2020",0.215,"7/27/2020",2,"east","n","transmitter",165.364,"straight","roadside",86,30,"clear",3,4.827,"S","11:37:00","12:00:00","0:23:00",1380,3,"grass","fly",NA,"east",4646355.536,447038.091,4646074.205,447075.476,"pasture",283.8041046,172.430531
"80","20081a","cross",3,191,"gz",2020,20081,"a",2,"ad prairie","7/27/2020",0.1828,"7/29/2020",2,"west","n","transmitter",165.364,"straight","roadside",87.5,30.83333333,"mostly clear",0.5,0.8045,"N","10:05:00","10:26:00","0:21:00",1260,6,"common milkweed","fly",NA,"west",4646770.299,445432.085,4646673.503,445395.786,"crop",103.3783489,200.5563047
"81","20082a","cross",5,192,"ha",2020,20082,"a",2,"ad prairie","7/27/2020",0.2332,"7/29/2020",2,"west","n","transmitter",165.364,"straight","roadside",92.3,33.5,"mostly clear",0,0,"N","10:47:00","11:43:00","0:56:00",3360,10,"grass","fly",NA,"west",4646770.268,445432.074,4646720.161,445539.563,"prairie",118.5942518,114.9930188
"82","20087a","cross",1,153,"hg",2020,20087,"a",1,"ad prairie","7/29/2020",0.1989,"7/30/2020",1,"east","n","transmitter",165.558,"straight","roadside",87,30.55555556,"mostly clear",7.3,11.7457,"SW","11:21:00","11:34:00","0:13:00",780,4,"soy","fly",NA,"east",4646408.187,447038.306,4646364.48,446983.987,"crop",69.71983656,231.1786069
"83","20089a","cross",2,154,"hj",2020,20089,"a",1,"ad prairie","7/30/2020",NA,"7/31/2020",1,"east","n","transmitter",165.558,"straight","roadside",73,22.77777778,"mostly clear",2.9,4.6661,"SW","9:13:00","11:18:00","2:05:00",7500,20,"grass","fly",NA,"east",4646408.357,447038.533,4645791.149,446466.307,"creek",841.6580721,222.834221
"84","20091a","cross",1,155,"hm",2020,20091,"a",1,"jesse","7/30/2020",0.217,"7/31/2020",1,"east","n","transmitter",165.158,"straight","roadside",83,28.33333333,"mostly cloudy",4.5,7.2405,"W","13:39:00","13:53:00","0:14:00",840,3,"vegetative weedy plant","fly",NA,"east",4646407.204,447039.02,4646430.956,446999.486,"crop",46.12043647,300.9974191
"85","20092a","cross",2,156,"hn",2020,20092,"a",1,"jesse","7/30/2020",0.1955,"7/31/2020",1,"east","n","transmitter",165.158,"straight","roadside",88,31.11111111,"mostly cloudy",0,0,"W","14:07:00","14:51:15","0:44:15",2655,7,"vegetative weedy plant","fly",NA,"east",4646408.209,447038.445,4646417.227,447006.397,"crop",33.29262122,285.716093
"86","20094a","cross",1,157,"hp",2020,20094,"a",1,"jesse","7/30/2020",0.171,"8/1/2020",2,"east","n","transmitter",165.157,"straight","roadside",77,25,"clear",0,0,"W","9:37:00","10:15:00","0:38:00",2280,6,"soy","fly",NA,"east",4646408.649,447038.622,4646412.731,447019.9,"crop",19.16183728,282.299836
"87","20095a","cross",6,193,"hq",2020,20095,"a",2,"jesse","7/30/2020",NA,"8/1/2020",2,"west","n","transmitter",165.157,"straight","roadside",77.5,25.27777778,"mostly clear",2.9,4.6661,"SSE","10:43:00","11:43:00","1:00:00",3600,13,"grass","fly",NA,"west",4646771.529,445432.222,4646819.78,445542.301,"na",120.189622,66.3306876
"88","20097b","cross",2,194,"ht",2020,20097,"b",2,"ad prairie","8/1/2020",NA,"8/4/2020",3,"west","n","transmitter",165.46,"straight","roadside",75,23.88888889,"mostly clear",0.2,0.3218,"SW","14:14:00","14:59:00","0:45:00",2700,6,"morning glory","fly",NA,"west",4646771.683,445431.967,4647690.401,446130.542,"na",1154.144616,37.2486406
